Ligand#,distance_pi_bond_1,distance_pi_bond_2,dihedral_angle_1,dihedral_angle_2,NE_quad,NW_quad,SW_quad,SE_quad,"+,+,+_octant","-,+,+_octant","-,-,+_octant","+,-,+_octant","+,-,-_octant","-,-,-_octant","-,+,-_octant","+,+,-_octant",bite_angle,cone_angle,distance_Rh_max_donor_gaussian,distance_Rh_min_donor_gaussian,buried_volume_Rh_3.5A,buried_volume_donor_max,buried_volume_donor_min,buried_volume_Rh_4A,buried_volume_Rh_5A,buried_volume_Rh_6A,buried_volume_Rh_7A,dispersion_p_int_Rh_gfn2_xtb,dispersion_p_int_donor_max_gfn2_xtb,dispersion_p_int_donor_min_gfn2_xtb,sasa_gfn2_xtb,ip_gfn2_xtb,dipole_gfn2_xtb,ea_gfn2_xtb,electrofugality_gfn2_xtb,nucleofugality_gfn2_xtb,nucleophilicity_gfn2_xtb,electrophilicity_gfn2_xtb,HOMO_LUMO_gap_gfn2_xtb,sum_electronic_and_free_energy_dft,sum_electronic_and_enthalpy_dft,zero_point_correction_dft,entropy_dft,dipole_moment_dft,lone_pair_occupancy_min_donor_dft,lone_pair_occupancy_max_donor_dft,dispersion_energy_dft,nbo_charge_Rh_dft,nbo_charge_min_donor_dft,nbo_charge_max_donor_dft,mulliken_charge_Rh_dft,mulliken_charge_min_donor_dft,mulliken_charge_max_donor_dft,homo_energy_dft,lumo_energy_dft,homo_lumo_gap_dft,hardness_dft,softness_dft,electronegativity_dft,electrophilicity_dft,min_NBO_donor,max_NBO_donor,min_bv_donor,max_bv_donor,Rh_donor_min_d,Rh_donor_max_d,std_quad,min_quad,max_quad,std_oct,min_oct,max_oct,ratio_std_oct_std_quad,ratio_min_oct_min_quad,lone_pair_occ_min,lone_pair_occ_max,bite_angle_sin,bite_angle_cos,cone_angle_sin,cone_angle_cos
L11,1.388799835,1.388336747,14.25153582,-6.365425328,0.5283265,0.500465896,0.488142937,0.525507827,0.162691018,0.177599702,0.08246366,0.056466642,0.893961983,0.823332091,0.968551994,0.919819232,87.5069277,216.8839372,2.302423422,2.317184204,0.510808796,0.914717667,0.900210818,0.518388058,0.514825297,0.476540886,0.401257664,53.0224689,64.16366448,57.95276335,877.3848138,3.130249448,0.659697408,5.088627207,3.622708986,0.249832332,-3.130249448,0.492459538,0.068686804,-3871.808637,-3871.673697,0.822076,0.000452591,2.554453955,1.12831,1.09926,-4.841830223,-0.28694,1.11045,1.14692,-0.504227,0.299733,0.372421,-8.461108067,-4.306201684,4.154906383,2.077453192,0.481358619,6.383654876,9.807934479,1.11045,1.14692,0.900210818,0.914717667,2.302423422,2.317184204,0.019523417,0.488142937,0.5283265,0.421462737,0.056466642,0.968551994,21.58755026,0.11567645,1.09926,1.12831,-0.441856052,0.897085965,-0.113797052,-0.993504017
L12,1.39593908,1.383776114,-10.64591696,-8.122684701,0.571608274,0.476635296,0.54379426,0.542629519,0.221859858,0.138464406,0.191390235,0.114563921,0.92135669,0.814806187,0.893868804,0.973024599,91.77240705,226.3332241,2.408635381,2.284864799,0.533707603,0.95647363,0.883054184,0.537326982,0.509939374,0.433391537,0.330625971,50.48185725,65.38440517,57.57423264,717.0738062,3.143717761,0.704089092,4.770437625,3.509233384,0.441077998,-3.143717761,0.365515623,0.065589373,-3563.145358,-3563.032842,0.715708,0.000377381,3.82283378,1.13236,1.16361,-4.002714769,-0.27303,1.0895,1.06427,-0.538935,0.318794,0.34262,-8.487230997,-4.419945274,4.067285723,2.033642862,0.491728424,6.453588135,10.23994936,1.06427,1.0895,0.883054184,0.95647363,2.284864799,2.408635381,0.040311469,0.476635296,0.571608274,0.396111914,0.114563921,0.973024599,9.826283196,0.240359709,1.13236,1.16361,-0.618018787,-0.786163328,0.138110168,0.990416873
L13,1.39083742,1.391621273,10.15955391,6.741945033,0.566926016,0.610231085,0.582277302,0.540719344,0.157007082,0.237933284,0.19194931,0.186032426,0.97684495,0.982528886,0.889489378,0.978522177,93.34748742,222.3181033,2.319645857,2.330146919,0.575154911,0.913634458,0.914071236,0.579200546,0.565734288,0.52223797,0.448667335,54.78572961,61.34485817,73.10295289,945.0156753,3.414626345,1.988936411,5.470343911,4.145434118,0.106463862,-3.414626345,0.730807773,0.064087591,-4178.441736,-4178.296368,0.917459,0.000487567,2.978052931,1.14619,1.09084,-5.627093151,-0.30666,1.06729,1.15616,-0.653598,0.27882,0.429526,-8.264913981,-4.060210763,4.204703218,2.102351609,0.475657828,6.162562372,9.032070285,1.06729,1.15616,0.913634458,0.914071236,2.319645857,2.330146919,0.029066218,0.540719344,0.610231085,0.409816774,0.157007082,0.982528886,14.09941837,0.290367052,1.09084,1.14619,-0.783508503,0.621381063,0.670568687,-0.741847448
L14,1.389102328,1.390476589,5.438020855,1.914763644,0.506010063,0.477287551,0.501118151,0.537737607,0.129006709,0.149319791,0.16492732,0.075195676,0.883013418,0.805255311,0.910547894,0.927040626,92.13672134,228.4192877,2.316590022,2.317810837,0.505474283,0.907012905,0.890019335,0.508379368,0.498025133,0.469755998,0.41544463,52.34593066,63.4388965,58.24925994,1044.9142,3.050627596,0.609760227,5.110416524,3.543659048,0.228614928,-3.050627596,0.493031452,0.066543723,-4257.234476,-4257.069642,0.99663,0.000552856,4.069027252,1.13206,1.09884,-5.388303429,-0.27796,1.12111,1.14581,-0.477557,0.347078,0.396273,-8.214572919,-4.107286459,4.107286459,2.05364323,0.486939496,6.160929689,9.241394534,1.12111,1.14581,0.890019335,0.907012905,2.316590022,2.317810837,0.024864033,0.477287551,0.537737607,0.404244094,0.075195676,0.927040626,16.25818658,0.157547952,1.09884,1.13206,-0.857573979,-0.514360643,0.793765992,-0.608223273
L15,1.392597315,1.386591942,-6.243920999,3.138589943,0.545122065,0.481736862,0.470112747,0.534499627,0.185706299,0.173732762,0.165439806,0.075754752,0.904537831,0.789740962,0.903559448,0.864470742,92.3816772,219.8929116,2.353222477,2.281211736,0.507774646,0.932043189,0.858978988,0.511560425,0.502779004,0.460477799,0.373852917,52.10600011,66.43669137,53.53313155,789.2249376,3.243429315,0.183772089,5.110562891,3.759817412,0.251825206,-3.243429315,0.516388097,0.067542011,-3789.004617,-3788.885553,0.708024,0.000399343,3.662788319,1.14313,1.10707,-4.282889535,-0.27896,1.09079,1.11387,-0.472304,0.359968,0.369671,-8.388181556,-4.347835103,4.040346452,2.020173226,0.495007055,6.368008329,10.03664675,1.09079,1.11387,0.858978988,0.932043189,2.281211736,2.353222477,0.037440639,0.470112747,0.545122065,0.38544038,0.075754752,0.904537831,10.29470615,0.161141668,1.10707,1.14313,-0.956713108,-0.291032695,-0.018573083,0.999827505
L16,1.397217916,1.380203076,-0.987540596,1.83562608,0.548196981,0.490519009,0.535804137,0.562406821,0.21007268,0.169726053,0.202571748,0.114936638,0.886321282,0.811311964,0.922241893,0.956671636,90.38146435,226.4280961,2.447726539,2.295498012,0.534435567,0.959030237,0.895936219,0.538870958,0.518903141,0.452116876,0.354104877,51.39341452,72.5864116,60.39730249,750.7441763,3.171908871,1.149544407,4.935110972,3.60310201,0.342082167,-3.171908871,0.431193139,0.06652275,-3567.500346,-3567.386412,0.776421,0.000382137,4.329063435,1.12219,1.17481,-4.398244496,-0.25826,1.13942,1.03538,-0.547111,0.357513,0.358472,-8.549272955,-4.284160462,4.265112493,2.132556246,0.468920809,6.416716709,9.653732085,1.03538,1.13942,0.895936219,0.959030237,2.295498012,2.447726539,0.031102725,0.490519009,0.562406821,0.387942939,0.114936638,0.956671636,12.47295675,0.234316379,1.12219,1.17481,0.662927786,-0.748683344,0.231311028,0.972879853
L17,1.388727029,1.399945424,24.18099457,6.02395917,0.644614238,0.721161014,0.503494223,0.517377935,0.329575102,0.449496832,0.107389117,0.176714499,0.959653373,0.992825196,0.927366754,0.830273947,98.31465224,231.6444661,2.38736931,2.346828383,0.596388138,0.906232529,0.876316157,0.602100273,0.583076456,0.511485782,0.418932131,65.88771019,64.79215064,50.73723379,884.5560349,3.515083478,1.428870496,5.56589795,4.317135234,0.082153806,-3.515083478,0.802051756,0.076625186,-2866.358221,-2866.231472,0.79631,0.000425118,6.211881217,1.12166,1.15419,-5.256909319,-0.25785,1.31822,1.27017,-0.597744,0.562925,0.579856,-8.38355562,-4.21259452,4.1709611,2.08548055,0.479505791,6.29807507,9.509978307,1.27017,1.31822,0.876316157,0.906232529,2.346828383,2.38736931,0.104507766,0.503494223,0.721161014,0.37059509,0.107389117,0.992825196,3.54610098,0.213287685,1.12166,1.15419,-0.798789233,-0.601610972,-0.740215134,0.672370103
L18,1.385217692,1.396949115,-9.607947848,-10.0227833,0.561451733,0.526229966,0.569092434,0.589382221,0.23588334,0.182072307,0.254985091,0.190831159,0.887020127,0.870387626,0.923779351,0.947353709,94.68211173,243.0446003,2.428789848,2.341117381,0.561574031,0.94381872,0.925916651,0.568148315,0.548291602,0.480323371,0.377849206,53.43840611,71.08082135,66.92983124,757.3041171,3.084648271,1.375966702,4.762886584,3.440152108,0.438617253,-3.084648271,0.355503837,0.068254708,-3645.912852,-3645.79378,0.833037,0.000399369,2.962581206,1.10722,1.19888,-4.764694183,-0.24784,1.12835,1.01833,-0.56456,0.379312,0.337714,-8.437162049,-4.335045752,4.102116296,2.051058148,0.487553218,6.3861039,9.94177641,1.01833,1.12835,0.925916651,0.94381872,2.341117381,2.428789848,0.026325114,0.526229966,0.589382221,0.370875929,0.182072307,0.947353709,14.08829357,0.345993803,1.10722,1.19888,0.420804629,0.907151291,-0.909452719,-0.415807349
L19,1.399706671,1.407521886,-20.01544559,-26.8246108,0.620247857,0.604127842,0.532146851,0.474445583,0.289042117,0.250931793,0.184122251,0.174664555,0.951453597,0.957323891,0.764768915,0.889629146,104.7797924,247.736464,2.5191477,2.447044134,0.557433377,0.918736023,0.925375047,0.585461796,0.597931317,0.552588553,0.462027433,60.7504812,64.7093626,73.02744952,882.7227319,3.281724112,0.68975108,4.74719589,3.656331979,0.473411977,-3.281724112,0.374607867,0.069673818,-4054.045738,-4053.909792,1.122103,0.000455965,6.908131396,1.18241,1.19108,-5.975033063,-0.15303,1.00964,1.02505,-0.346935,0.280942,0.354779,-8.257294793,-4.385658929,3.871635865,1.935817932,0.516577506,6.321476861,10.32149487,1.00964,1.02505,0.918736023,0.925375047,2.447044134,2.5191477,0.067458711,0.474445583,0.620247857,0.362600903,0.174664555,0.957323891,5.375153126,0.368144549,1.18241,1.19108,-0.894465699,-0.447136571,0.434385226,-0.900727193
L20,1.392131657,1.386862596,-4.430212142,1.198119812,0.617499068,0.527348118,0.571678159,0.512416139,0.271384644,0.222465524,0.160501305,0.179043981,0.963613492,0.832230712,0.864330973,0.964312337,97.32723607,218.7023545,2.349731281,2.34751023,0.557619735,0.905859812,0.905289089,0.562201291,0.557184416,0.526021588,0.458977559,57.34595507,68.42485827,73.50854703,960.7255705,3.281160053,0.634751253,5.229951504,3.86072839,0.195616833,-3.281160053,0.579568337,0.059841468,-4443.302384,-4443.152655,1.024885,0.000502194,71.35305291,1.12948,1.12571,-6.464100761,-0.28988,1.12388,1.11435,-0.568828,0.421454,0.379038,-7.846947107,-4.178580288,3.668366819,1.834183409,0.545201748,6.012763698,9.855428606,1.11435,1.12388,0.905289089,0.905859812,2.34751023,2.349731281,0.047407168,0.512416139,0.617499068,0.377017073,0.160501305,0.964312337,7.952744042,0.313224531,1.12571,1.12948,0.062096215,-0.998070168,-0.935308963,0.353832083
L21,1.392506335,1.393963423,-12.08260081,-15.05328152,0.637602497,0.522805628,0.634061685,0.53093552,0.293607902,0.191203876,0.214452106,0.292769288,0.981597093,0.85440738,0.847418934,0.975354081,97.2923846,251.6832239,2.370175298,2.364772358,0.581811405,0.916307538,0.928962449,0.602887779,0.634618114,0.632927797,0.583095188,65.96322691,66.05157566,69.38456805,1151.200498,4.815578948,2.061174033,6.892097467,6.940642951,0.078966536,-4.815578948,2.125064003,0.056245264,-7135.154546,-7134.932279,1.066585,0.000745487,69.21721325,1.13519,1.13189,-7.816736009,-0.31441,1.10518,1.11574,-0.808813,0.376029,0.444339,-8.400970906,-4.91437614,3.486594766,1.743297383,0.573625596,6.657673523,12.71286734,1.10518,1.11574,0.916307538,0.928962449,2.364772358,2.370175298,0.063013037,0.522805628,0.637602497,0.361285872,0.191203876,0.981597093,5.733509916,0.365726507,1.13189,1.13519,0.096835679,-0.995300382,0.348351257,0.937364071
L22,1.393478911,1.387231884,2.188087516,-4.848091971,0.63529631,0.54514536,0.572889489,0.519614238,0.294213567,0.232901603,0.161386508,0.175037272,0.976379053,0.857389117,0.877841968,0.970741707,96.9781334,236.1472843,2.350853988,2.353417843,0.568684775,0.910029584,0.909779165,0.576395785,0.584700498,0.568598349,0.520100989,61.04794361,70.02265428,74.69710972,1172.614414,3.084504617,1.211706463,5.167629863,3.609399569,0.203265089,-3.084504617,0.524894952,0.06046465,-5214.15408,-5213.949542,1.375021,0.000686024,71.15882993,1.12481,1.11965,-8.06344782,-0.28623,1.12606,1.11842,-0.595061,0.421228,0.381356,-7.6012283,-3.843063911,3.758164389,1.879082195,0.532174698,5.722146105,8.712486379,1.11842,1.12606,0.909779165,0.910029584,2.350853988,2.353417843,0.04971919,0.519614238,0.63529631,0.380924848,0.161386508,0.976379053,7.661525629,0.31058908,1.11965,1.12481,0.399745207,-0.916626297,-0.503664423,-0.863899386
L23,1.386952644,1.399344941,8.525896905,23.85852063,0.540067089,0.559588148,0.582859672,0.663599515,0.148574357,0.180068953,0.353242639,0.234998136,0.931559821,0.939107343,0.973956392,0.930721208,96.98936028,237.061849,2.332318065,2.381797177,0.586860557,0.940301202,0.926202013,0.598123953,0.604200829,0.582042269,0.521657236,61.49584722,77.53772673,75.16431377,1085.02511,3.126117485,0.977089111,5.096470406,3.621716627,0.245128735,-3.126117485,0.495599141,0.066245406,-4757.038976,-4756.858136,1.244733,0.00060654,69.93466427,1.13973,1.1162,-7.541965223,-0.26066,1.08275,1.13079,-0.639704,0.355184,0.393946,-7.745720754,-4.270010542,3.475710212,1.737855106,0.575421965,6.007865648,10.38476957,1.08275,1.13079,0.926202013,0.940301202,2.332318065,2.381797177,0.054276597,0.540067089,0.663599515,0.386732933,0.148574357,0.973956392,7.125224397,0.27510352,1.1162,1.13973,0.389429378,-0.921056328,-0.991768507,-0.128043854
L24,1.391736188,1.389948848,15.64377886,2.412780434,0.613189527,0.586680022,0.560123928,0.537271711,0.286339918,0.245480805,0.132594111,0.184960865,0.940039135,0.92787924,0.94194931,0.935286992,97.55678846,229.5616818,2.348237829,2.360140509,0.574421124,0.931123043,0.926295192,0.586978617,0.584438365,0.537218241,0.446425115,65.56998739,61.70164152,61.12977057,852.5951124,3.299134091,0.196632952,5.240835777,3.886427988,0.192458119,-3.299134091,0.587293897,0.068010862,-4039.909779,-4039.782077,0.841558,0.000428315,6.233880693,1.13488,1.11927,-5.433839938,-0.26525,1.07208,1.12528,-0.595678,0.346927,0.446182,-8.286138862,-4.323616971,3.962521891,1.981260945,0.504729073,6.304877916,10.03186522,1.07208,1.12528,0.926295192,0.931123043,2.348237829,2.360140509,0.03285176,0.537271711,0.613189527,0.389503923,0.132594111,0.94194931,11.85640962,0.246791536,1.11927,1.13488,-0.166635232,-0.98601861,-0.223513892,-0.974700744
L25,1.393962468,1.391768812,-29.02843255,-8.908559811,0.572679836,0.542769288,0.59730246,0.576593366,0.169493105,0.140234812,0.2126817,0.258758852,0.975866567,0.945303764,0.940505032,0.935846068,95.90995752,236.441085,2.321688374,2.352414891,0.572033405,0.919656168,0.931664648,0.584247564,0.589830816,0.545819538,0.465250935,58.15956504,59.44928468,74.73667957,985.9068477,4.395494081,4.534896568,6.143693162,5.703372712,0.010185468,-4.395494081,1.30787863,0.051622142,-5291.415114,-5291.251807,0.815149,0.000547734,19.71355085,1.12909,1.15285,-5.605861051,-0.23531,1.09307,1.0864,-0.506412,0.39218,0.384445,-8.406957411,-4.784033606,3.622923806,1.811461903,0.552040315,6.595495508,12.00703171,1.0864,1.09307,0.919656168,0.931664648,2.321688374,2.352414891,0.022477826,0.542769288,0.59730246,0.404670158,0.140234812,0.975866567,18.00308266,0.258369099,1.12909,1.15285,0.995827608,-0.091254457,-0.732260952,-0.681024154
